batsman,total_runs,out,numberofballs,average,strikerate
Mohammad Hafeez,64.00,8.00,82.00,8,78
CR Woakes,63.00,5.00,66.00,12.6,95
WD Parnell,63.00,9.00,75.00,7,84
Anirudh Singh,63.00,4.00,66.00,15.75,95
A Flintoff,62.00,2.00,53.00,31,117
S Aravind,59.00,3.00,56.00,19.66666667,105
WA Mota,56.00,5.00,73.00,11.2,77
JD Unadkat,55.00,7.00,53.00,7.857142857,104
M Rawat,55.00,5.00,69.00,11,80
I Sharma,55.00,7.00,61.00,7.857142857,90
J Suchith,54.00,2.00,46.00,27,117
Mohammed Shami,54.00,9.00,52.00,6,104
A Chopra,53.00,5.00,71.00,10.6,75
RR Rossouw,53.00,6.00,51.00,8.833333333,104
RP Singh,52.00,15.00,72.00,3.466666667,72
NM Coulter-Nile,52.00,7.00,50.00,7.428571429,104
Shoaib Malik,52.00,4.00,47.00,13,111
KB Arun Karthik,51.00,5.00,50.00,10.2,102
R Rampaul,51.00,5.00,49.00,10.2,104
RV Gomez,50.00,7.00,50.00,7.142857143,100
SB Bangar,49.00,6.00,58.00,8.166666667,84
VR Aaron,49.00,3.00,62.00,16.33333333,79
AG Paunikar,49.00,5.00,57.00,9.8,86
Yashpal Singh,47.00,4.00,66.00,11.75,71
Kuldeep Yadav,45.00,4.00,54.00,11.25,83
Sunny Singh,43.00,4.00,31.00,10.75,139
AB Barath,42.00,2.00,42.00,21,100
SK Trivedi,42.00,8.00,59.00,5.25,71
JDS Neesham,42.00,3.00,46.00,14,91
A Nehra,41.00,8.00,59.00,5.125,69
LPC Silva,40.00,2.00,25.00,20,160
S Dube,40.00,4.00,33.00,10,121
BR Dunk,40.00,3.00,35.00,13.33333333,114
Umar Gul,39.00,3.00,19.00,13,205
AUK Pathan,39.00,5.00,23.00,7.8,170
DJ Thornely,39.00,3.00,52.00,13,75
MM Patel,39.00,5.00,41.00,7.8,95
SP Jackson,38.00,2.00,31.00,19,123
JO Holder,38.00,5.00,31.00,7.6,123
Anureet Singh,37.00,4.00,46.00,9.25,80
S Narwal,37.00,4.00,27.00,9.25,137
JJ Bumrah,37.00,3.00,38.00,12.33333333,97
Sohail Tanvir,36.00,3.00,29.00,12,124
L Balaji,36.00,7.00,47.00,5.142857143,77
KW Richardson,36.00,3.00,39.00,12,92
Joginder Sharma,36.00,4.00,30.00,9,120
AN Ahmed,36.00,1.00,26.00,36,138
SN Thakur,36.00,4.00,21.00,9,171
A Kumble,35.00,2.00,46.00,17.5,76
B Sumanth,35.00,1.00,37.00,35,95
S Sreesanth,34.00,3.00,52.00,11.33333333,65
AP Dole,34.00,2.00,22.00,17,155
A Mithun,34.00,5.00,25.00,6.8,136
L Ronchi,34.00,3.00,34.00,11.33333333,100
M Santner,33.00,1.00,23.00,33,143
D Salunkhe,33.00,1.00,24.00,33,138
Basil Thampi,32.00,2.00,33.00,16,97
RJ Peterson,32.00,3.00,29.00,10.66666667,110
Mohammed Siraj,32.00,3.00,36.00,10.66666667,89
S Nadeem,32.00,14.00,77.00,2.285714286,42
S Sriram,31.00,2.00,36.00,15.5,86
T Taibu,31.00,3.00,26.00,10.33333333,119
M Markande,30.00,3.00,29.00,10,103
J Syed Mohammad,29.00,2.00,26.00,14.5,112
VH Zol,29.00,2.00,26.00,14.5,112
SB Jakati,28.00,2.00,29.00,14,97
M Lomror,28.00,2.00,24.00,14,117
JM Kemp,26.00,2.00,24.00,13,108
NL McCullum,26.00,3.00,21.00,8.666666667,124
AB Dinda,26.00,9.00,47.00,2.888888889,55
Sandeep Sharma,26.00,3.00,38.00,8.666666667,68
A Choudhary,25.00,2.00,20.00,12.5,125
S Chanderpaul,25.00,3.00,31.00,8.333333333,81
KC Cariappa,24.00,3.00,21.00,8,114
MA Khote,24.00,2.00,20.00,12,120
